"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Jul 11 02:53:34 UTC 2025","Fri Jul 11 02:53:35 UTC 2025","1157","Surefire suite","Burger menu Test","Burger menu Test","com.allwyn.swaglabstaf.BurgerMenuTest","resetMenuItemTest","'Reset App State' menu item Test","Verifies that the 'Reset App State' menu item removes all the products from the cart"
"failed","Fri Jul 11 02:53:10 UTC 2025","Fri Jul 11 02:53:10 UTC 2025","17","Surefire suite","Products Test","Products Test","com.allwyn.swaglabstaf.ProductsTest","productDescriptionTest","Product descriptions Test","Verifies that the product descriptions do not contain any system names/characters"
"passed","Fri Jul 11 02:52:56 UTC 2025","Fri Jul 11 02:52:56 UTC 2025","590","Surefire suite","Checkout Test","Checkout Test","com.allwyn.swaglabstaf.CheckoutTest","missingUserInfoTest","Missing user information Test","Verifies that the user receives an error in case of any user information field is blank or invalid"
"passed","Fri Jul 11 02:52:51 UTC 2025","Fri Jul 11 02:52:51 UTC 2025","155","Surefire suite","Checkout Test","Checkout Test","com.allwyn.swaglabstaf.CheckoutTest","cancelButtonTest","Cancel button Test","Verifies that the Cancel button leads to the previous page and keeps the added products in the cart"
"failed","Fri Jul 11 02:52:47 UTC 2025","Fri Jul 11 02:52:47 UTC 2025","130","Surefire suite","Checkout cart Test","Checkout cart Test","com.allwyn.swaglabstaf.ShoppingCartTest","emptyCartCheckoutButtonTest","Empty cart checkout button Test","Verifies that the Checkout button should be disabled in case there are no items in the shopping cart"
"passed","Fri Jul 11 02:53:09 UTC 2025","Fri Jul 11 02:53:09 UTC 2025","397","Surefire suite","Products Test","Products Test","com.allwyn.swaglabstaf.ProductsTest","productButtonTest","Product button Test","Verifies that the product button text changes depending on the product status: added/removed to/from the shopping cart"
"passed","Fri Jul 11 02:52:54 UTC 2025","Fri Jul 11 02:52:55 UTC 2025","598","Surefire suite","Checkout Test","Checkout Test","com.allwyn.swaglabstaf.CheckoutTest","missingUserInfoTest","Missing user information Test","Verifies that the user receives an error in case of any user information field is blank or invalid"
"passed","Fri Jul 11 02:53:24 UTC 2025","Fri Jul 11 02:53:25 UTC 2025","427","Surefire suite","Login Tests","Login Tests","com.allwyn.swaglabstaf.LoginTest","successfulLoginTest","Successful login Test","Verifies that a user can successfully log in"
"passed","Fri Jul 11 02:53:15 UTC 2025","Fri Jul 11 02:53:15 UTC 2025","85","Surefire suite","Products Test","Products Test","com.allwyn.swaglabstaf.ProductsTest","productSortingTest","Product sorting Test","Verifies that the products get sorted according to the selected option in the sorting select"
"passed","Fri Jul 11 02:53:17 UTC 2025","Fri Jul 11 02:53:18 UTC 2025","434","Surefire suite","Login Tests","Login Tests","com.allwyn.swaglabstaf.LoginTest","invalidCredentialsTest","Invalid credentials Test","Verifies that it's not possible to log in with incorrect/invalid credentials"
